key,0,1,2,3,4,5
#,TYPE,PARAM,LINK,Text,,
offset,12,16,20,0,4,8
int32,uint32,uint32,uint32,str,str,str
0,0,0,0,"","",""
1,0,0,0,Iniciar Juego,"",""
2,0,0,0,Configuración,"",""
3,0,0,0,Vídeo de Apertura,"",""
4,0,0,0,Créditos,"",""
5,0,0,0,"","",""
6,0,0,0,¿Calibrar el mando?<hex:02100103>※Los ajustes se pueden modificar en cualquier momento a través del menú de Configuración del Sistema.,"",""
7,0,0,0,Sí,"",""
8,0,0,0,"No","",""
9,0,0,0,"","",""
10,0,0,0,Cuenta de Servicio,"",""
11,0,0,0,Seleccione una cuenta de servicio.,"",""
12,0,0,0,"Version: <hex:022903EA0203>(<hex:022903EA0303>)<hex:02081DE1E80401FF15> - ex<hex:022003E80403> : <hex:022903EA0503><hex:FF01><hex:03>","",""
13,0,0,0,"<hex:024804F201F403><hex:024904F201F503>Warning!<hex:0249020103><hex:0248020103> Screen resolution is set to Low (480p/i 576p/i)<hex:02100103>The recommended setting is High (720p).","",""
14,0,0,0,"","",""
15,0,0,0,"OK","",""
16,0,0,0,Cancelar,"",""
17,0,0,0,Selecciona los elementos que deseas modificar en la lista de la derecha. Los marcados con ??? aún no se han confirmado.,"",""
18,0,0,0,Selecciona los elementos que deseas modificar en la lista de la derecha y pulse Aceptar para aplicar los cambios.,"",""
19,0,0,0,Selecciona los elementos que deseas modificar en la lista de la derecha. Aquellos marcados con ??? aún no se han confirmado.,"",""
20,0,0,0,Eliminar Personaje,"",""
21,0,0,0,"¿Eliminar a <hex:022903EA0203>?<hex:02100103>Ten en cuenta que, si eliminas este personaje, se perderán todos los objetos, el guil y los retenedores contratados que posea.<hex:02100103>Si este personaje es el maestro de una compañía libre y no hay ningún miembro que reúna los requisitos para ser su sucesor, la compañía libre se disolverá automáticamente,<hex:02100103>lo que provocará que se eliminen también las propiedades de la empresa y todos los objetos que se encuentren en el cofre de la empresa.","",""
22,0,0,0,Entiendo y deseo eliminar este personaje.,"",""
23,0,0,0,Cambiar Nombre,"",""
24,0,0,0,Cambiar Nombre de Retenedor,"",""
25,0,0,0,¿Iniciar sesión con <hex:022903EA0203>?,"",""
26,0,0,0,Se requiere un cambio de nombre para iniciar sesión con este personaje.,"",""
27,0,0,0,"<hex:02089CE1E80201FF4D>Por favor, cambia el nombre de tu personaje después de recuperar sus datos.<hex:FF48>Es necesario cambiar el nombre para iniciar sesión con este personaje.<hex:03>","",""
28,0,0,0,¿Cambiar el nombre de este personaje a <hex:022903EA0203>?,"",""
29,0,0,0,¿Cambiar el nombre de este retenedor a <hex:022903EA0203>?,"",""
30,0,0,0,Nuevo Personaje,"",""
31,0,0,0,¿Abandonar la creación del personaje <hex:02100103>y perder todo el progreso?,"",""
32,0,0,0,¿Empezar una nueva partida con este personaje?,"",""
33,0,0,0,¿Crear un nuevo personaje?,"",""
34,0,0,0,"","",""
35,0,0,0,"<hex:022003E80203>/<hex:022003E80303>","",""
36,0,0,0,Ubicación,"",""
37,0,0,0,"<hex:022003E80303>º Sol de la <hex:0209CFE802FF10>1ª Luna Astral<hex:FF10>1ª Luna Umbral<hex:FF10>2ª Luna Astral<hex:FF10>2ª Luna Umbral<hex:FF10>3ª Luna Astral<hex:FF10>3ª Luna Umbral<hex:FF10>4ª Luna Astral<hex:FF10>4ª Luna Umbral<hex:FF10>5ª Luna Astral<hex:FF10>5ª Luna Umbral<hex:FF10>6ª Luna Astral<hex:FF10>6ª Luna Umbral<hex:03>","",""
38,0,0,0,"（<hex:022003E80203>/<hex:022003E80303>）","",""
39,0,0,0,"","",""
40,0,0,0,1ª Luna Astral,"",""
41,0,0,0,1ª Luna Umbral,"",""
42,0,0,0,2ª Luna Astral,"",""
43,0,0,0,2ª Luna Umbral,"",""
44,0,0,0,3ª Luna Astral,"",""
45,0,0,0,3ª Luna Umbral,"",""
46,0,0,0,4ª Luna Astral,"",""
47,0,0,0,4ª Luna Umbral,"",""
48,0,0,0,5ª Luna Astral,"",""
49,0,0,0,5ª Luna Umbral,"",""
50,0,0,0,6ª Luna Astral,"",""
51,0,0,0,6ª Luna Umbral,"",""
52,0,0,0,"","",""
53,0,0,0,"<hex:022003E80403>º Sol de la <hex:0209CFE803FF10>1ª Luna Astral<hex:FF10>1ª Luna Umbral<hex:FF10>2ª Luna Astral<hex:FF10>2ª Luna Umbral<hex:FF10>3ª Luna Astral<hex:FF10>3ª Luna Umbral<hex:FF10>4ª Luna Astral<hex:FF10>4ª Luna Umbral<hex:FF10>5ª Luna Astral<hex:FF10>5ª Luna Umbral<hex:FF10>6ª Luna Astral<hex:FF10>6ª Luna Umbral<hex:03>","",""
54,0,0,0,"","",""
55,0,0,0,"","",""
56,0,0,0,"<hex:022903EA0203> <hex:020833E3E80308FF2B><hex:020927E803FF01><hex:FF09>(Legado)<hex:FF01><hex:FF09>(Legado)<hex:FF01><hex:FF09>(Legado)<hex:03><hex:FF01><hex:03>","",""
57,0,0,0,Obteniendo la lista del Mundos…,"",""
58,0,0,0,No se pudo obtener la lista de Mundos.,"",""
59,0,0,0,"Obtén información actualizada del los Mundos. Esta función solo se puede usar una vez cada<hex:020822E2E80202FF07>minuto<hex:FF06>cada <hex:022003E80203> minutos<hex:03>.","",""
60,0,0,0,"Esta cuenta no dispone de espacios para personajes. Para crear un nuevo personaje, primero debes eliminar uno existente seleccionando la opción “Eliminar” en el menú de subcomandos.","",""
61,0,0,0,"No puedes crear más personajes. Para crear un nuevo personaje, primero debes eliminar uno ya existente. Para ello, selecciona la opción “Eliminar” en el menú de subcomandos.","",""
62,0,0,0,"No puedes crear más personajes en este Mundo. Por favor selecciona otro.","",""
63,0,0,0,"Este Mundo ya no admite nuevos personajes. Puedes esperar a que se levante la restricción o seleccionar otro Mundo.","",""
64,0,0,0,"No puedes seleccionar este personaje con tu cuenta actual.","",""
65,0,0,0,"Se te concede una oportunidad para modificar la raza, la tribu, el género, la apariencia y el nombre de tu personaje.","",""
66,0,0,0,"<hex:0208B3E1E80201FF52>Cambia el nombre de tu retenedor después de recuperar los datos de tu personaje.<hex:FF5A>Para iniciar sesión con este personaje, primero debes cambiar el nombre de tu retenedor.<hex:03>","",""
67,0,0,0,"Si lo deseas, puedes modificar la raza, el sexo y la apariencia de tu personaje. <hex:020835E1E80201FF2D>(<hex:022003E80203> <hex:020816E4E80202FF07>minuto<hex:FF08>minutos<hex:03> restantes)<hex:FF01><hex:03>","",""
68,0,0,0,"Para iniciar sesión con este personaje, primero debes instalar <hex:02280FFF0A>ExVersion<hex:E8020103>.","",""
69,0,0,0,"Para editar la raza, el sexo o la apariencia de este personaje, primero debes instalar <hex:02280FFF0A>ExVersion<hex:E8020103>.","",""
70,0,0,0,"Para iniciar sesión con este personaje de la versión 1.0, primero debes seleccionar la clase de Discípulo de la Guerra o de la Magia con la que deseas comenzar el juego.","",""
71,0,0,0,"OK","",""
72,0,0,0,"Cancelar","",""
73,0,0,0,"Has elegido comenzar FINAL FANTASY XIV: Un Reino Renacido como <hex:02280EFF09>ClassJob<hex:E8020103>. Comenzarás tu nueva aventura en la ciudad de <hex:02280AFF05>Town<hex:E8030103>.","",""
74,0,0,0,"OK","",""
75,0,0,0,"Cancelar","",""
76,0,0,0,"Para iniciar sesión con este personaje de la versión 1.0, primero debes seleccionar la clase de Discípulo de la Guerra o de la Magia con la que deseas comenzar el juego. Se te concede una oportunidad para modificar la raza, la tribu, el género, la apariencia y el nombre de tu personaje.","",""
77,0,0,0,"Editar ahora.","",""
78,0,0,0,"Editar más tarde.","",""
79,0,0,0,"Reeditar el personaje","",""
80,0,0,0,"Crear un nuevo personaje con los datos de apariencia guardados.","",""
81,0,0,0,"Guardar Datos de Apariencia","",""
82,0,0,0,"Cargar Datos de Apariencia","",""
83,0,0,0,"Para facilitar el proceso de inicio de sesión, la visualización de la información de los personajes se ha simplificado.<hex:02100103>Por favor, utiliza el subcomando Recuperar Datos del Personaje si vas a reeditar la apariencia de tu personaje o si necesitan cambiar de nombre.","",""
84,0,0,0,"¡Bienvenido a Eorzea!<hex:02100103>Antes de iniciar tu aventura, primero debes crear un personaje.","",""
85,0,0,0,"Proceder","",""
86,0,0,0,"¡Bienvenido a Eorzea!<hex:02100103>Comienza tu aventura seleccionando un personaje ya existente o creando uno nuevo.<hex:02100103>Has seleccionado el Mundo <hex:022903EA0203> en el que tienes <hex:022003E80303><hex:02081CE2E80302FF0A>personaje<hex:FF0B>personajes<hex:03>. Para seleccionar otro Mundo, presiona el botón Mundo en la parte superior derecha de la pantalla.","",""
87,0,0,0,"Proceder","",""
88,0,0,0,"Selecciona un Mundo.","",""
89,0,0,0,"","",""
90,0,0,0,"","",""
91,0,0,0,"","",""
92,0,0,0,"","",""
93,0,0,0,"","",""
94,0,0,0,"","",""
95,0,0,0,"Iniciar sesión con <hex:022903EA0203>.<hex:02100103><hex:02100103><hex:024804F201FA03><hex:024904F201FB03>Tu personaje se encuentra actualmente en un Servidor de Mundo diferente a tu Mundo de Origen. Visita una éterita en Limsa Lominsa, Gridania o Ul'dah para regresar.<hex:0249020103><hex:0248020103>","",""
96,0,0,0,"Iniciar sesión con <hex:022903EA0203>.<hex:02100103><hex:02100103><hex:024804F201FA03><hex:024904F201FB03>Tu personaje se encuentra actualmente en un Servidor de Mundo diferente a tu Mundo de Origen. Para regresar, selecciona “Regresar a Mundo de Origen” en el menú de subcomandos del personaje antes de iniciar sesión.<hex:0249020103><hex:0248020103>","",""
97,0,120,0,"","",""
98,0,0,0,"","",""
99,0,0,0,"<hex:02100103><hex:02100103>Atributos iniciales: FUE <hex:022003E80203>/DES <hex:022003E80403>/VIT <hex:022003E80303>/INT <hex:022003E80503>/MND <hex:022003E80603>","",""
100,0,0,0,"? ? ?","",""
101,0,0,0,"Raza & Género","種族",""
102,0,0,0,"Clan","部族",""
103,0,0,0,"Género","性別",""
104,0,0,0,"Apariencia","ルックス",""
105,0,0,0,Onomástico ,"誕生日",""
106,0,0,0,"Guardián","守護神",""
107,0,0,0,"Clase","クラス",""
108,0,0,0,"Mundo de Origen","ワールド",""
109,0,0,0,"Nombre","名前",""
110,0,0,0,"Hyur<hex:02090FE802FF04> ©<hex:FF04> ®<hex:FF01><hex:03>","","Se dice que los Hyur llegaron por primera vez a Eorzea desde los continentes
e islas circundantes. Tres grandes oleadas migratorias después, son
ahora la más populosa de todas las razas civilizadas. Poseen un físico
relativamente modesto, tanto en altura como en complexión, y se les
reconoce por susorejas peculiarmente cortas y redondeadas. Los Hyur están
bien dotados para recorrer largasdistancias a pie, un rasgo que se cree
responsable de su veloz proliferación.

Su adopción de una ecléctica variedad de lenguas y tradiciones es un
legado de su diversa herencia－así como su resultante falta de una
identidad cultural unificada."
111,0,0,0,"","",""
112,0,0,0,"Elezen<hex:02090FE802FF04> ©<hex:FF04> ®<hex:FF01><hex:03>","","En tiempos pasados, los Elezen eran los únicos habitantes de Eorzea
y reclamaban su dominio sobre ella. Tradicionalmente un pueblo
nómada, los altos y esbeltos Elezen creían que el reino les pertenecía
por derecho divino. Por desgracia, esta creencia hizo que la eventual
aparición en masa de los Hyur fuese considerada una invasión, y se
desató una larga historia de conflictos.

Con el tiempo, los Elezen se dividieron en los dos clanes que existen
hoy. Los Elezen de Wildwood se internaron en los bosques para proteger
su tierra natal, mientras que los Elezen de Duskwight se retiraron a
cuevas y al subsuelo, optando por evitar todo contacto con quienes no
fueran de los suyos."
113,0,0,0,"","",""
114,0,0,0,"Lalafell<hex:02090FE802FF04> ©<hex:FF04> ®<hex:FF01><hex:03>","","Los Lalafell son un pueblo diminuto de cuerpos cortos y redondeados
que, a ojos de la mayoría, no parecen más que niños. Muchas de estas
ágiles y pequeñas gentes provienen de las islas de los mares del
sur, donde llevan una vida sencilla dedicada a la agricultura. No fue
hasta la apertura de las rutas comerciales marítimas cuando comenzó la
migración gradual de los Lalafell a Eorzea.

Hoy en día son una de las razas más consolidadas del reino, y se los
encuentra en gran número en casi todas las ciudades. Si bien la cultura
Lalafellina otorga gran importancia a los lazos de sangre, sus individuos
son conocidos por llevarse bien con miembros de todas las razas."
115,0,0,0,"","",""
116,0,0,0,"Miqo'te<hex:02090FE802FF04> ©<hex:FF04> ®<hex:FF01><hex:03>","","Los ancestros de los Miqo'te llegaron a Eorzea durante la
Era del Hielo Eterno, recorriendo los mares helados en pos de la fauna
que les servía de sustento. La adaptación a una vida de caza les ha
dotado de un agudo olfato, unas piernas poderosas y una cola que les
proporciona un equilibrio excepcional.

Los Miqo'te son conocidos por su marcada territorialidad, y muchos de
ellos tienden a llevar una vida solitaria, en especial los machos."
117,0,0,0,"","",""
118,0,0,0,"Roegadyn<hex:02090FE802FF04> ©<hex:FF04> ®<hex:FF01><hex:03>","","Conocidos por sus complexiones musculosas y sus ojos penetrantes,
los Roegadyn son la raza más grande y fornida de Eorzea. La mayoría
de los Roegadyn del reino pertenecen al clan de los Sea Wolves, un
pueblo marítimo que se gana la vida en el mar o junto a él, ya sea
como marineros, pescadores o piratas. En comparación, los Hellsguard
son menos numerosos; son conocidos por su talante más serio y a menudo
se los puede encontrar trabajando como guardaespaldas y herreros."
119,0,0,0,"","",""
120,0,0,0,"Midlander","","El clan de los Midlander comprende más de la mitad de la población
de los Hyur de Eorzea. Se han asentado en toda ciudad del reino
y llevan vidas tan diversas como su legado.

Instruidos en las letras desde la infancia, los Midlander
suelen ser más educados que muchos otros pueblos y clanes.
A pesar de que los varones tienden a ser ligeramente más altos
que las mujeres, no existen diferencias notables entre géneros"
121,0,0,0,"","",""
122,0,0,0,"Highlander","","Los Highlanders fueron los primeros Hyur en llegar a Eorzea.
Su nombre proviene de su larga tradición de erigir fortalezas en las
montañas. En comparación con sus hermanos Midlanders, los Highlanders
son notablemente más robustos.

Últimamente, los Highlanders se han vuelto una vista cada vez más rara
en Eorzea; su número está representado casi en su totalidad porlos que
huyeron de Ala Mhigo tras su caída y ahora trabajan en el desierto de
la ciudad-estado de Ul'dah como mercenarios y espadas de alquiler."
123,0,0,0,"","",""
124,0,0,0,"Wildwood","","Durante cientos de años, los Elezen de Wildwood han vivido en la
relativa seguridad de los frondosos bosques de Eorzea. Sin embargo,
con la formación de los gobiernos de Eorzea, muchos Wildwood se
aventuraron fuera de los bosques, atraídos por el estimulante
cosmopolitismo de la cercana Gridania. Apenas existe dimorfismo entre
ambos sexos, aunque se suele considerar a los varones más afables y
caballerosos. Entre sus hermanos Duskwight, los Wildwood son llamados
los Verdes, por su amor al bosque."
125,0,0,0,"","",""
126,0,0,0,"Duskwight","","Hace siglos, algunos Elezen buscaron una vida de paz y reclusión
en las profundidades de las cuevas y cavernas de Eorzea. Hoy en
día reciben el nombre de Duskwight, aunque para sus primos
Wildwood son simplemente los Grises, por su preferencia por la
oscuridad y la piedra.

El modo de vida cavernario de los Duskwight persiste, y algunos
de ellos recurren al robo y al pillaje para sobrevivir, lo que les
ha valido el desprecio de sus parientes del bosque. Apenas existen
diferencias entre géneros, si bien las mujeres Duskwight suelen ser
consideradas las más apasionadas e inflexibles de los dos."
127,0,0,0,"","",""
128,0,0,0,"Plainsfolk","","De las llanuras de las islas natales de los Plainsfolk es de donde
este clan lalafellin toma su nombre. La peculiar coloración de su
cabello —una miríada de tonos terrosos y herbáceos— les permite
camuflarse con el entorno, actuando como un camuflaje eficaz frente
a posibles atacantes. Fue el parecido de los pastizales de La Noscea
con los de su hogar lo que atrajo a los primeros colonos a la isla
de Vylbrand y a lo que hoy es Limsa Lominsa.

Son un pueblo astuto y oportunista, hábil con las palabras. La imagen
que se tiene de los Plainsfolk es la de gente vivaz y aficionada a la
conversación desmedida."
129,0,0,0,"","",""
130,0,0,0,"Dunesfolk","","Quizás la característica más singular de los Dunesfolk sean sus
ojos luminosos ─fruto de una capa brillante y protectora que cubre
la pupila, respuesta evolutiva a la luz cegadora de su tierra natal.
Muchos llevan en la frente una pequeña gema tradicional, símbolo de
su signo zodiacal. Son firmes defensores del estudio, anteponiendo
el saber a todo lo demás. Las otras razas tienden a ver a los varones
Dunesfolk como introvertidos que se interesan más por los libros,
los negocios y la prosperidad de Ul'dah —ciudad-estado forjada por
el ingenio Dunesfolk— que por los sucesos del resto del reino."
131,0,0,0,"","",""
132,0,0,0,"Seekers of the Sun","","El autoproclamado clan de los Seekers of the Sun es el clan diurno
de la raza Miqo'te. Su preferencia por la cálida luz del día
impregna todos los aspectos de su cultura, como muestra su profunda
reverencia a Azeyma, la Guardiana, protectora del sol y diosa de la
indagación.

Quizá sean más conocidos por sus llamativos ojos －fruto
de sus pupilas verticales y el tenue color de sus iris. Tampoco
es raro que sus ojos sean de distinto color de nacimiento, un rasgo
considerado auspicioso entre su especie.

Las tribus Seeker se pueden encontrar por toda Eorzea, con grandes
concentraciones cerca de Limsa Lominsa y del desierto de Sagolii"
133,0,0,0,"","",""
134,0,0,0,"Keepers of the Moon","","Los Miqo'te nocturnos se han dado a sí mismos el nombre de Keepers
of the Moon. Intimidados por la luz deslumbrante del día, se
deleitan en el manto de la noche, y la mayoría rinde culto a
Menphina, la Amante, diosa de la luna.

Se distinguen de sus primos diurnos por su pelaje más oscuro,
orejas más grandes, ojos más redondos, caninos más pronunciados,
y colas más largas y finas. La aplicación ritual de pintura de guerra
en el rostro se sigue practicando, pues se cree que los vivos colores
otorgan poderes lunares.

Tras muchos veranos de conflicto con el pueblo de Gridania,
los Keepers por fin han hecho las paces con los habitantes
de la ciudad-estado silvana, y algunos incluso han decidido
establecer allí su hogar."
135,0,0,0,"","",""
136,0,0,0,"Sea Wolves","","Hace mucho, ningún navío ni aldea costera se libraba de
la furia de los Sea Wolves y su estilo marítimo de
brutalidad. La mera mención del clan bastaba para helar
el corazón de quienes se ganaban la vida en el mar. Los
Sea Wolves provienen de las islas de los mares del lejano
norte, donde aún subsisten como pescadores y pescadoras.

No fue hasta el gran despliegue de la armada de
Limsa Lominsa que menguó el apetito pirata de los Sea Wolves.
Hoy en día no es raro verlos empleados como marineros o
mercenarios navales en todo tipo de navíos. Sin embargo,
jamás han olvidado las costumbres de su tierra natal,
y aún emplean la antigua lengua roegadyn en sus nombres."
137,0,0,0,"","",""
138,0,0,0,"Hellsguard","","Los Hellsguard son un clan Roegadyn de cuerpo y mente
templados por el calor inclemente de las regiones volcánicas
que habitan. Creyendo que estas montañas de fuego son puertas
al inframundo, su estirpe ha montado guardia durante siglos
para evitar el paso de almas de vuelta al reino de los vivos.

Como el duro entorno de sus tierras natales produce escaso
sustento, los segundos y terceros hijos suelen ser enviados
fuera de sus aldeas montañosas, y muchos de ellos terminan
en las grandes ciudades. Allí, su enorme corpulencia y su
talante férreo los convierten en soldados y mercenarios
muy solicitados, lo que permite a los jóvenes, incluso de
las familias más numerosas, superar en prosperidad a sus
hermanos mayores."
139,0,0,0,"","",""
