key,0,1
#,,
offset,4,0
int32,int32,str
0,111106,"The Cosmic Exploration Initiative has officially completed its operations in Sinus Ardorum!<hex:02100103><hex:02100103>Thanks to the hard work and diligence of contributors like you, we are ready to leap from our Lunar Hopopolis to frontiers unknown. 'Tis a dream come true!<hex:02100103><hex:02100103>We hope you will join us as we continue to seek delightful new discoveries on distant stars.<hex:02100103><hex:02100103>Sincerely,<hex:02100103>The Loporrits"
1,111107,"The Cosmic Exploration Initiative has officially completed its operations on Phaenna!<hex:02100103><hex:02100103>The Phaenna Stellascope, a monument to the hard work of our countless contributors, now turns its glassy gaze to the sea of stars.<hex:02100103><hex:02100103>Its observations will no doubt propel us to yet more wonder and discovery, which we hope to share with you before long.<hex:02100103><hex:02100103>Sincerely,<hex:02100103>The Loporrits"
2,0,""
3,0,""
4,0,""
5,0,""
6,0,""
7,0,""
8,0,""
